StartDate,EndDate,Duration__in_seconds_,Finished,RecordedDate,ResponseId,Age,Age_classes,Gender,Party_to_vote_for,PoliticalSpectrum_Left,PoliticalSpectrum_Prog,PoliticalSpectrum_Coal,Education,Education_classes,Househol_composition,No_of_cars_in_househol,Type_of_house,Net_income_household,Postal_code,INHABITANTS_postal_cod,unemployment_socia_ass,share_owner_occupied_h,share_rented_house,Area_address_density,Urban_density_class
2021/11/12 12:48,2021/11/12 13:07,1126,True,2021/11/12 13:07,R_3ptHbZswBbe56G8,71,65-75,Male,JA21,Right,Strongly conservative,Opposition parties,Master (HBO/WO),High,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,3645,9330,4.876741693,70,30,631,Little urban (address density of 500 to 1 000)
2021/11/12 12:48,2021/11/12 13:11,1389,True,2021/11/12 13:11,R_2zByQLzRqFsKz6f,73,65-75,Male,Party for the Animals,Left,Strongly progressive,Opposition parties,Master (HBO/WO),High,"Single, without children living at home",0,Owner-occupied house,2000 - 2999 Euros,8071,12475,6.452905812,60,30,1028,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 12:49,2021/11/12 13:01,713,True,2021/11/12 13:01,R_2TBJxxYScacjAe8,57,55-65,Male,VVD,Centre Right,Conservative,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,4000 - 4999 Euros,3068,22860,10.43307087,40,60,2901,Very highly urban (address density of 2 500 or more)
2021/11/12 12:50,2021/11/12 13:05,891,True,2021/11/12 13:05,R_9ohIUMYa0vW9tPH,63,55-65,Male,VVD,Centre Right,Conservative,Coalition parties,"Doctor, PhD",High,"Single, without children living at home",1,Owner-occupied house,1000 - 1999 euro,2741,11610,5.426356589,60,40,1606,Highly urban (address density of 1 500 to 2 500)
2021/11/12 12:51,2021/11/12 13:03,747,True,2021/11/12 13:03,R_2oBrYpz0M3Rioff,57,55-65,Male,GROENLINKS,Centre Left,Strongly progressive,Opposition parties,Master (HBO/WO),High,"Living together/married, without children living at home",2,Owner-occupied house,Euro 6000 - 6999,7732,570,2.631578947,80,20,426,Non-urban (address density of less than 500)
2021/11/12 12:54,2021/11/12 13:47,3207,True,2021/11/12 13:47,R_3CDhzLFmyE59QBH,67,65-75,Male,PVV (Partij voor de Vrijheid),Centre,Strongly conservative,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, with children living at home",2,Rented house,2000 - 2999 Euros,5241,6360,5.896226415,70,30,1547,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:04,2021/11/12 13:33,1745,True,2021/11/12 13:33,R_dm3mWiPp86HJgBP,68,65-75,Male,VVD,Centre Right,Conservative,Coalition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Single, without children living at home",0,Rented house,1000 - 1999 euro,4102,8005,8.307307933,50,50,1572,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:08,2021/11/12 13:24,964,True,2021/11/12 13:24,R_1I6jLC96fDTclUF,65,65-75,Male,BBB (BoerBurgerBeweging),Centre Right,Conservative,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,2969,2230,2.914798206,70,20,232,Non-urban (address density of less than 500)
2021/11/12 13:14,2021/11/12 13:29,850,True,2021/11/12 13:29,R_1myqwDc2K20cUlL,62,55-65,Male,SP (Socialist Party),Left,Progressive,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Rented house,3000 - 3999 Euros,2171,10020,4.640718563,60,40,1650,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:15,2021/11/12 13:26,679,True,2021/11/12 13:26,R_0dKnJCqwZuM4aJ3,60,55-65,Male,No idea,No idea,No idea,No idea,Bachelor's degree (HBO/WO),Medium,"Living together/married, with children living at home",3,Owner-occupied house,4000 - 4999 Euros,6718,8590,4.481955763,70,30,896,Little urban (address density of 500 to 1 000)
2021/11/12 13:18,2021/11/12 14:05,2849,True,2021/11/12 14:05,R_2BhueMDzlEtEeIw,63,55-65,Male,Party for the Animals,Left,Strongly progressive,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Single, with children living at home",2,Owner-occupied house,0 - 999 Euros,5224,8860,10.83521445,40,60,1644,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:18,2021/11/12 14:45,5240,True,2021/11/12 14:45,R_2xLiWgLtXU1Us4u,80,75+,Male,SP (Socialist Party),Left,Progressive,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,5246,6015,8.063175395,70,30,1363,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 13:18,2021/11/12 13:40,1274,True,2021/11/12 13:40,R_3koi9orMPOQkI64,77,75+,Male,PvdA (Labour Party),Centre Left,Progressive,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Rented house,2000 - 2999 Euros,5921,6850,12.04379562,50,50,2494,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:21,2021/11/12 13:38,1052,True,2021/11/12 13:38,R_2uyqlqzXzFhYGxV,76,75+,Male,PVV (Partij voor de Vrijheid),Centre,Strongly conservative,Opposition parties,"Other, namely",Low,"Living together/married, without children living at home",1,Owner-occupied house,1000 - 1999 euro,3333,7180,9.749303621,50,50,1959,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:23,2021/11/12 13:36,786,True,2021/11/12 13:36,R_1pS6FrMElIL5YbK,70,65-75,Male,SP (Socialist Party),Left,Progressive,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,4000 - 4999 Euros,3853,10105,11.13310242,60,40,792,Little urban (address density of 500 to 1 000)
2021/11/12 13:24,2021/11/12 13:49,1495,True,2021/11/12 13:49,R_3Ma6jIyhY0OFGj0,76,75+,Male,Votes blank or not,Votes blank or not,Votes blank or not,Votes blank or not,Master (HBO/WO),High,"Living together/married, without children living at home",1,Rented house,3000 - 3999 Euros,2037,8795,15.40648096,20,80,3327,Very highly urban (address density of 2 500 or more)
2021/11/12 13:25,2021/11/12 13:45,1202,True,2021/11/12 13:45,R_2U30a75TDV9HzLa,74,65-75,Male,50PLUS,Centre,Conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,5467,7525,7.176079734,80,20,1476,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 13:27,2021/11/12 13:38,667,True,2021/11/12 13:38,R_27QJ68lFvJglgGl,66,65-75,Male,BBB (BoerBurgerBeweging),Centre Right,Conservative,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Owner-occupied house,5000 - 5999 Euros,4635,2100,5,80,20,259,Non-urban (address density of less than 500)
2021/11/12 13:30,2021/11/12 13:44,784,True,2021/11/12 13:44,R_2CHNWo0yC7khrCK,69,65-75,Male,VVD,Centre Right,Conservative,Coalition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,3355,5990,5.258764608,70,30,1855,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:32,2021/11/12 13:49,1048,True,2021/11/12 13:49,R_3lQVaGr0TsirmIH,64,55-65,Male,SP (Socialist Party),Left,Progressive,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Single, without children living at home",1,Rented house,2000 - 2999 Euros,2042,8360,7.83492823,60,40,2017,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:36,2021/11/12 15:36,7164,True,2021/11/12 15:36,R_2VCqcCBLxNfJeBH,67,65-75,Male,SP (Socialist Party),Left,Progressive,Opposition parties,Master (HBO/WO),High,"Single, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,3137,13350,6.891385768,50,50,2447,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:39,2021/11/12 13:55,979,True,2021/11/12 13:55,R_3j7OSSBIyKfEite,71,65-75,Male,Pieter Omtzigt,Unknown,Unknown,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,4000 - 4999 Euros,1783,2630,12.35741445,40,60,1415,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 13:40,2021/11/12 14:01,1297,True,2021/11/12 14:01,R_1hA1NU9oH26BmPf,74,65-75,Male,VVD,Centre Right,Conservative,Coalition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,5467,7525,7.176079734,80,20,1476,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 13:48,2021/11/12 14:20,1913,True,2021/11/12 14:20,R_1KxOLnjs1jApis1,86,75+,Male,VVD,Centre Right,Conservative,Coalition parties,"Other, namely",High,"Single, without children living at home",1,Owner-occupied house,8000 - 8999 Euros,1811,5185,8.389585342,40,60,4043,Very highly urban (address density of 2 500 or more)
2021/11/12 13:48,2021/11/12 14:01,768,True,2021/11/12 14:01,R_3ozICqtXbin2ygs,78,75+,Male,50PLUS,Centre,Conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Rented house,1000 - 1999 euro,2807,11000,7.181818182,60,40,1541,Highly urban (address density of 1 500 to 2 500)
2021/11/12 13:49,2021/11/12 14:12,1361,True,2021/11/12 14:12,R_1Cm59DG6vfkJZvh,76,75+,Male,SP (Socialist Party),Left,Progressive,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Rented house,2000 - 2999 Euros,6707,5060,10.77075099,20,80,3006,Very highly urban (address density of 2 500 or more)
2021/11/12 13:53,2021/11/12 14:10,971,True,2021/11/12 14:10,R_3FcVwaMbCl2FhJf,61,55-65,Male,Volt,Centre,Strongly progressive,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",3,Owner-occupied house,4000 - 4999 Euros,5403,9115,7.295666484,70,30,1312,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 13:54,2021/11/12 14:38,2633,True,2021/11/12 14:38,R_UFRNnW2f6LuaHp7,78,75+,Male,PVV (Partij voor de Vrijheid),Centre,Strongly conservative,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Rented house,2000 - 2999 Euros,5368,720,6.25,80,20,83,Non-urban (address density of less than 500)
2021/11/12 13:58,2021/11/12 14:09,654,True,2021/11/12 14:09,R_2CZGf9gr3s4dPh8,69,65-75,Male,Votes blank or not,Votes blank or not,Votes blank or not,Votes blank or not,Bachelor's degree (HBO/WO),Medium,"Single, without children living at home",0,Rented house,3000 - 3999 Euros,1057,17530,11.49458072,20,80,10690,Very highly urban (address density of 2 500 or more)
2021/11/12 14:03,2021/11/12 14:18,874,True,2021/11/12 14:18,R_1llXKAMETqyUtwQ,75,75+,Male,BBB (BoerBurgerBeweging),Centre Right,Conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Single, without children living at home",1,Owner-occupied house,0 - 999 Euros,1311,4665,7.931404073,70,30,1742,Highly urban (address density of 1 500 to 2 500)
2021/11/12 14:07,2021/11/12 14:18,649,True,2021/11/12 14:18,R_28U7eJ7mPKpDUR8,66,65-75,Male,SP (Socialist Party),Left,Progressive,Opposition parties,Master (HBO/WO),High,"Living together/married, without children living at home",2,Owner-occupied house,Euro 6000 - 6999,4841,11915,3.734788082,80,20,1112,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 14:11,2021/11/12 14:29,1053,True,2021/11/12 14:29,R_2f3WpYFupC3P7XJ,67,65-75,Male,PVV (Partij voor de Vrijheid),Centre,Strongly conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Owner-occupied house,0 - 999 Euros,2231,16340,4.039167687,70,30,2024,Highly urban (address density of 1 500 to 2 500)
2021/11/12 14:15,2021/11/12 14:40,1517,True,2021/11/12 14:40,R_2YggdzeB0yQCCKz,78,75+,Male,JA21,Right,Strongly conservative,Opposition parties,"Other, namely",High,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,7601,6995,16.08291637,40,60,2198,Highly urban (address density of 1 500 to 2 500)
2021/11/12 14:26,2021/11/12 15:19,3192,True,2021/11/12 15:19,R_3iUNIw5QfLwkoIo,78,75+,Male,VVD,Centre Right,Conservative,Coalition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,6045,5905,12.87044877,50,40,1283,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 14:26,2021/11/13 11:28,75688,True,2021/11/13 11:28,R_2VPGnI6dtKRMaQP,64,55-65,Male,Forum voor Democatie (FvdD),Right,Strongly conservative,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",2,Owner-occupied house,Euro 6000 - 6999,3833,7020,6.552706553,70,30,1457,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 14:52,2021/11/12 15:09,988,True,2021/11/12 15:09,R_XAhNCKTgtZ1KUSZ,81,75+,Male,Pieter Omtzigt,Unknown,Unknown,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,3137,13350,6.891385768,50,50,2447,Highly urban (address density of 1 500 to 2 500)
2021/11/12 14:53,2021/11/12 15:11,1110,True,2021/11/12 15:11,R_2V4LGZ5iXQRKBTF,74,65-75,Male,Votes blank or not,Votes blank or not,Votes blank or not,Votes blank or not,Master (HBO/WO),High,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,2396,4115,3.766707169,70,30,806,Little urban (address density of 500 to 1 000)
2021/11/12 14:56,2021/11/12 15:12,965,True,2021/11/12 15:12,R_2vl8hFppvlAWtBg,71,65-75,Male,PvdA (Labour Party),Centre Left,Progressive,Opposition parties,Master (HBO/WO),High,"Living together/married, without children living at home",1,Owner-occupied house,4000 - 4999 Euros,1622,7640,13.48167539,50,50,1040,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 15:01,2021/11/12 15:34,1965,True,2021/11/12 15:34,R_2wcWRiHtTm25FnC,79,75+,Male,PvdA (Labour Party),Centre Left,Progressive,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Rented house,2000 - 2999 Euros,6343,3225,6.201550388,80,20,298,Non-urban (address density of less than 500)
2021/11/12 15:17,2021/11/12 15:32,852,True,2021/11/12 15:32,R_Uuvq5wBwshz5AoF,60,55-65,Male,BBB (BoerBurgerBeweging),Centre Right,Conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Single, without children living at home",0,Owner-occupied house,0 - 999 Euros,7423,6105,9.336609337,80,20,1596,Highly urban (address density of 1 500 to 2 500)
2021/11/12 15:18,2021/11/12 15:34,917,True,2021/11/12 15:34,R_2EynjliQkJy3xls,66,65-75,Male,GROENLINKS,Centre Left,Strongly progressive,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Single, without children living at home",1,Rented house,1000 - 1999 euro,8501,9770,7.625383828,50,50,1147,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 15:22,2021/11/12 15:37,951,True,2021/11/12 15:37,R_w4UXj1HU6Eq1PTX,60,55-65,Male,No idea,No idea,No idea,No idea,Bachelor's degree (HBO/WO),Medium,"Living together/married, with children living at home",2,Owner-occupied house,3000 - 3999 Euros,3264,4100,3.048780488,80,20,461,Non-urban (address density of less than 500)
2021/11/12 15:23,2021/11/12 15:35,707,True,2021/11/12 15:35,R_SH6bDNiLBuk0jkd,67,65-75,Male,Party for the Animals,Left,Strongly progressive,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Rented house,1000 - 1999 euro,2201,13615,8.079324275,60,40,1756,Highly urban (address density of 1 500 to 2 500)
2021/11/12 15:27,2021/11/12 15:48,1267,True,2021/11/12 15:48,R_9no4Zc9bn1xzRqV,72,65-75,Male,PvdA (Labour Party),Centre Left,Progressive,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,7205,2475,8.282828283,70,30,670,Little urban (address density of 500 to 1 000)
2021/11/12 15:53,2021/11/12 16:09,950,True,2021/11/12 16:09,R_2CJUcG4sMAW1c9R,75,75+,Male,Votes blank or not,Votes blank or not,Votes blank or not,Votes blank or not,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Rented house,2000 - 2999 Euros,5341,6735,11.21009651,40,60,2782,Very highly urban (address density of 2 500 or more)
2021/11/12 16:02,2021/11/12 16:20,1071,True,2021/11/12 16:20,R_udBxii4IRRuK9tT,64,55-65,Male,ChristenUnie,Centre,Progressive,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",0,Owner-occupied house,1000 - 1999 euro,3561,8950,13.35195531,20,80,3459,Very highly urban (address density of 2 500 or more)
2021/11/12 16:03,2021/11/12 16:21,1070,True,2021/11/12 16:21,R_ymVRjKO5pFCpVOV,72,65-75,Male,PvdA (Labour Party),Centre Left,Progressive,Opposition parties,Master (HBO/WO),High,"Living together/married, without children living at home",1,Owner-occupied house,4000 - 4999 Euros,2614,12620,6.299524564,50,50,3112,Very highly urban (address density of 2 500 or more)
2021/11/12 16:04,2021/11/12 16:16,714,True,2021/11/12 16:16,R_2BsueEk4R1Nw0cv,68,65-75,Male,PvdA (Labour Party),Centre Left,Progressive,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,6041,11710,8.411614005,50,50,1816,Highly urban (address density of 1 500 to 2 500)
2021/11/12 16:05,2021/11/12 16:16,680,True,2021/11/12 16:16,R_1MMyCnjkEpdOKRu,72,65-75,Male,SGP,Centre Right,Conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Rented house,1000 - 1999 euro,3181,12515,7.351178586,60,40,1209,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 16:19,2021/11/12 16:34,887,True,2021/11/12 16:34,R_3COx8Am6Ma2VUz7,64,55-65,Male,VVD,Centre Right,Conservative,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,5000 - 5999 Euros,2991,12955,5.519104593,70,30,1561,Highly urban (address density of 1 500 to 2 500)
2021/11/12 16:22,2021/11/12 16:43,1249,True,2021/11/12 16:43,R_3IZh8Jpb0ExTdFR,69,65-75,Male,GROENLINKS,Centre Left,Strongly progressive,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Owner-occupied house,4000 - 4999 Euros,1191,8915,5.047672462,70,30,903,Little urban (address density of 500 to 1 000)
2021/11/12 16:26,2021/11/12 16:37,675,True,2021/11/12 16:37,R_Cktv2GGGtAA1t4d,63,55-65,Male,BBB (BoerBurgerBeweging),Centre Right,Conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,1316,4100,7.56097561,90,10,1294,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 16:46,2021/11/12 16:59,804,True,2021/11/12 16:59,R_2qy0BuDR4BQaL71,67,65-75,Male,VVD,Centre Right,Conservative,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,5427,9060,6.843267108,70,30,610,Little urban (address density of 500 to 1 000)
2021/11/12 17:01,2021/11/12 17:23,1346,True,2021/11/12 17:23,R_3j8nVcASZ08sQbn,61,55-65,Male,SGP,Centre Right,Conservative,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,1223,11770,8.36873407,50,50,2751,Very highly urban (address density of 2 500 or more)
2021/11/12 17:02,2021/11/12 18:38,5738,True,2021/11/12 18:38,R_UKDKzGz2sIa9q0N,58,55-65,Male,VVD,Centre Right,Conservative,Coalition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",2,Owner-occupied house,4000 - 4999 Euros,9204,8380,8.114558473,70,30,1080,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 17:19,2021/11/12 17:38,1150,True,2021/11/12 17:38,R_6r5hZxs6SjgjYkx,74,65-75,Male,D66,Centre,Strongly progressive,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,0 - 999 Euros,5912,10085,9.816559246,50,50,2207,Highly urban (address density of 1 500 to 2 500)
2021/11/12 17:20,2021/11/12 17:36,968,True,2021/11/12 17:36,R_3s4Wmcp5TIlklLy,67,65-75,Male,SP (Socialist Party),Left,Progressive,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Rented house,4000 - 4999 Euros,2324,9930,8.710976838,50,50,3287,Very highly urban (address density of 2 500 or more)
2021/11/12 17:27,2021/11/12 17:44,1069,True,2021/11/12 17:44,R_1jJoALUDaRu9cyd,73,65-75,Male,SGP,Centre Right,Conservative,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,1000 - 1999 euro,8303,9705,11.4374034,60,40,1389,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 17:31,2021/11/12 18:47,4527,True,2021/11/12 18:47,R_pREFoik4ysCI0Tv,52,45-55,Male,VVD,Centre Right,Conservative,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Owner-occupied house,5000 - 5999 Euros,3762,8370,7.108721625,60,40,1996,Highly urban (address density of 1 500 to 2 500)
2021/11/12 17:42,2021/11/12 17:59,986,True,2021/11/12 17:59,R_2w5Eu9vGVkT5MzL,78,75+,Male,D66,Centre,Strongly progressive,Coalition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,5694,4785,5.851619645,70,30,680,Little urban (address density of 500 to 1 000)
2021/11/12 17:55,2021/11/12 18:25,1801,True,2021/11/12 18:25,R_3fJNFoqCToWyIgd,73,65-75,Male,PVV (Partij voor de Vrijheid),Centre,Strongly conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Single, without children living at home",1,Rented house,1000 - 1999 euro,8161,6480,6.867283951,70,30,847,Little urban (address density of 500 to 1 000)
2021/11/12 18:01,2021/11/13 20:13,94291,True,2021/11/13 20:13,R_3symIkNCYL6XDBC,60,55-65,Male,GROENLINKS,Centre Left,Strongly progressive,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, with children living at home",3,Owner-occupied house,Euro 6000 - 6999,4876,6995,7.147962831,60,40,1562,Highly urban (address density of 1 500 to 2 500)
2021/11/12 18:04,2021/11/12 18:28,1440,True,2021/11/12 18:28,R_1rvPNFkU36iBHQk,50,45-55,Male,SP (Socialist Party),Left,Progressive,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, with children living at home",1,Owner-occupied house,2000 - 2999 Euros,5512,2105,4.038004751,80,20,221,Non-urban (address density of less than 500)
